message,attributes,tags,timestamp
Starting Container,"{""level"":""info""}","{""project"":""917ae07d-bc64-4ec6-a956-9a4bf3e82cc5"",""environment"":""19bc765a-97d4-4732-a992-e09e389d5e34"",""service"":""bcca0bb8-bfda-4349-81b8-e506df8ef23d"",""deployment"":""2871644c-3058-4bba-9990-e3dfe0266bf0"",""replica"":""205f8c81-41d2-4c6f-8587-999f31d1ba3d""}",2026-02-07T10:29:57.000000000Z
npm warn config production Use `--omit=dev` instead.,"{""level"":""error""}","{""project"":""917ae07d-bc64-4ec6-a956-9a4bf3e82cc5"",""environment"":""19bc765a-97d4-4732-a992-e09e389d5e34"",""service"":""bcca0bb8-bfda-4349-81b8-e506df8ef23d"",""deployment"":""2871644c-3058-4bba-9990-e3dfe0266bf0"",""replica"":""205f8c81-41d2-4c6f-8587-999f31d1ba3d""}",2026-02-07T10:30:01.180072773Z
,"{""level"":""info""}","{""project"":""917ae07d-bc64-4ec6-a956-9a4bf3e82cc5"",""environment"":""19bc765a-97d4-4732-a992-e09e389d5e34"",""service"":""bcca0bb8-bfda-4349-81b8-e506df8ef23d"",""deployment"":""2871644c-3058-4bba-9990-e3dfe0266bf0"",""replica"":""205f8c81-41d2-4c6f-8587-999f31d1ba3d""}",2026-02-07T10:30:01.180095751Z
> rest-express@1.0.0 start,"{""level"":""info""}","{""project"":""917ae07d-bc64-4ec6-a956-9a4bf3e82cc5"",""environment"":""19bc765a-97d4-4732-a992-e09e389d5e34"",""service"":""bcca0bb8-bfda-4349-81b8-e506df8ef23d"",""deployment"":""2871644c-3058-4bba-9990-e3dfe0266bf0"",""replica"":""205f8c81-41d2-4c6f-8587-999f31d1ba3d""}",2026-02-07T10:30:01.180104628Z
> NODE_ENV=production node dist/index.js,"{""level"":""info""}","{""project"":""917ae07d-bc64-4ec6-a956-9a4bf3e82cc5"",""environment"":""19bc765a-97d4-4732-a992-e09e389d5e34"",""service"":""bcca0bb8-bfda-4349-81b8-e506df8ef23d"",""deployment"":""2871644c-3058-4bba-9990-e3dfe0266bf0"",""replica"":""205f8c81-41d2-4c6f-8587-999f31d1ba3d""}",2026-02-07T10:30:01.180111260Z
,"{""level"":""info""}","{""project"":""917ae07d-bc64-4ec6-a956-9a4bf3e82cc5"",""environment"":""19bc765a-97d4-4732-a992-e09e389d5e34"",""service"":""bcca0bb8-bfda-4349-81b8-e506df8ef23d"",""deployment"":""2871644c-3058-4bba-9990-e3dfe0266bf0"",""replica"":""205f8c81-41d2-4c6f-8587-999f31d1ba3d""}",2026-02-07T10:30:01.180118268Z
Starting SLA notification job (interval: 30 minutes),"{""level"":""info""}","{""project"":""917ae07d-bc64-4ec6-a956-9a4bf3e82cc5"",""environment"":""19bc765a-97d4-4732-a992-e09e389d5e34"",""service"":""bcca0bb8-bfda-4349-81b8-e506df8ef23d"",""deployment"":""2871644c-3058-4bba-9990-e3dfe0266bf0"",""replica"":""205f8c81-41d2-4c6f-8587-999f31d1ba3d""}",2026-02-07T10:30:01.180125622Z
"[ExpoPush] Started push notification jobs (receipts: 15min, retry: 5min)","{""level"":""info""}","{""project"":""917ae07d-bc64-4ec6-a956-9a4bf3e82cc5"",""environment"":""19bc765a-97d4-4732-a992-e09e389d5e34"",""service"":""bcca0bb8-bfda-4349-81b8-e506df8ef23d"",""deployment"":""2871644c-3058-4bba-9990-e3dfe0266bf0"",""replica"":""205f8c81-41d2-4c6f-8587-999f31d1ba3d""}",2026-02-07T10:30:01.180131778Z
10:30:00 AM [express] serving on port 8080,"{""level"":""info""}","{""project"":""917ae07d-bc64-4ec6-a956-9a4bf3e82cc5"",""environment"":""19bc765a-97d4-4732-a992-e09e389d5e34"",""service"":""bcca0bb8-bfda-4349-81b8-e506df8ef23d"",""deployment"":""2871644c-3058-4bba-9990-e3dfe0266bf0"",""replica"":""205f8c81-41d2-4c6f-8587-999f31d1ba3d""}",2026-02-07T10:30:01.180139366Z
"Error loading SLA config, using defaults: error: relation ""admin_settings"" does not exist","{""level"":""error""}","{""project"":""917ae07d-bc64-4ec6-a956-9a4bf3e82cc5"",""environment"":""19bc765a-97d4-4732-a992-e09e389d5e34"",""service"":""bcca0bb8-bfda-4349-81b8-e506df8ef23d"",""deployment"":""2871644c-3058-4bba-9990-e3dfe0266bf0"",""replica"":""205f8c81-41d2-4c6f-8587-999f31d1ba3d""}",2026-02-07T10:30:01.180146777Z
